timestamp,cpu_usage,ram_usage,disk_usage,network_in,network_out,disk_read,disk_write,temperature,process_count,anomaly
11:35:01,92.3,92.7,54.6,702,1129,383,414,88.4,569,1
11:36:01,85.4,95.5,69.7,1248,1375,445,792,75.3,385,1
11:37:01,48.2,58.7,52.0,129,134,33,21,48.0,136,0
11:38:01,35.4,58.2,58.6,157,143,27,20,43.5,128,0
11:39:01,35.0,56.1,52.6,160,135,22,23,46.8,118,0
11:40:01,54.0,48.8,52.9,110,137,37,18,45.1,149,0
11:41:01,50.4,51.2,50.9,121,92,31,23,54.9,143,0
11:42:01,40.6,57.3,54.2,106,111,27,25,48.4,144,0
11:43:01,53.6,49.7,52.0,135,93,20,24,45.1,145,0
11:44:01,43.9,47.7,51.8,110,116,23,19,53.1,133,0
11:45:01,99.9,96.6,61.4,791,1065,533,720,88.3,415,1
11:46:01,37.7,46.7,51.5,106,130,24,22,43.3,115,0
11:47:01,45.2,50.8,56.5,127,128,21,19,54.4,141,0
11:48:01,55.6,50.3,54.3,105,116,40,21,54.9,113,0
11:49:01,50.5,49.9,57.7,148,108,24,28,47.6,114,0
11:50:01,86.4,97.2,59.4,1130,950,652,797,86.8,460,1
11:51:01,53.2,59.5,54.3,154,99,38,15,47.7,126,0
11:52:01,91.1,96.7,68.8,950,726,657,514,84.7,490,1
11:53:01,55.0,48.7,59.3,110,109,38,19,43.5,135,0
11:54:01,50.5,58.3,51.3,150,96,32,30,49.1,124,0
11:55:01,36.1,55.7,50.1,173,91,24,22,43.6,116,0
11:56:01,44.5,59.4,57.9,172,139,31,22,44.2,140,0
11:57:01,35.5,47.6,52.3,121,83,35,16,47.0,150,0
11:58:01,52.2,56.0,55.2,157,110,27,15,45.7,122,0
11:59:01,31.9,45.1,57.4,175,81,27,21,53.5,138,0
12:00:01,50.3,56.8,58.8,111,98,27,23,47.3,144,0
12:01:01,37.3,54.7,56.2,147,144,33,23,52.8,135,0
12:02:01,31.0,58.4,58.6,132,115,24,17,45.3,131,0
12:03:01,50.5,48.0,54.3,163,92,30,19,49.5,117,0
12:04:01,45.6,45.8,57.4,168,125,33,19,50.1,137,0
12:05:01,40.7,51.5,50.7,102,110,29,22,46.7,113,0
12:06:01,39.5,57.3,53.8,177,113,26,25,43.0,150,0
12:07:01,52.0,46.5,54.3,153,81,26,28,45.2,148,0
12:08:01,45.0,49.6,59.5,178,118,27,30,52.2,134,0
12:09:01,46.9,52.4,57.1,177,94,38,17,54.1,125,0
12:10:01,47.2,50.0,57.1,169,111,28,30,44.9,112,0
12:11:01,54.0,45.1,59.6,163,103,32,17,46.0,117,0
12:12:01,33.8,46.9,56.4,144,138,20,28,48.0,139,0
12:13:01,42.4,59.6,57.9,173,122,22,19,47.0,150,0
12:14:01,36.0,45.3,53.9,153,88,22,26,48.5,139,0
12:15:01,42.7,46.5,53.7,128,81,38,18,50.5,134,0
12:16:01,59.8,51.2,59.4,162,117,22,25,44.8,134,0
12:17:01,89.9,88.3,54.4,1109,1246,473,430,75.0,418,1
12:18:01,41.5,48.4,53.9,135,80,33,27,49.1,136,0
12:19:01,37.1,56.7,55.8,132,95,31,26,42.4,139,0
12:20:01,32.6,51.2,55.5,117,115,36,30,42.8,133,0
12:21:01,36.8,47.8,50.5,147,94,25,17,47.5,126,0
12:22:01,36.5,50.7,52.6,158,109,36,25,48.1,129,0
12:23:01,35.7,55.0,53.4,113,101,35,28,50.2,146,0
12:24:01,30.9,52.0,57.6,162,116,25,24,45.8,115,0
12:25:01,55.4,57.5,55.0,170,142,32,24,54.8,146,0
12:26:01,47.1,59.2,52.9,179,137,24,27,51.9,140,0
12:27:01,57.5,55.9,54.2,100,104,37,28,47.4,150,0
12:28:01,30.3,57.1,58.2,117,125,31,15,52.2,143,0
12:29:01,30.7,52.9,58.8,120,117,20,26,50.9,135,0
12:30:01,30.5,51.4,50.8,142,136,36,18,43.6,117,0
12:31:01,51.0,57.3,50.5,104,100,35,19,43.7,132,0
12:32:01,39.2,56.8,59.0,170,89,33,18,42.8,119,0
12:33:01,46.9,46.5,50.3,166,139,40,19,45.9,110,0
12:34:01,59.6,51.1,56.1,112,106,24,20,45.0,150,0
12:35:01,92.0,85.2,52.4,805,992,514,337,80.2,591,1
12:36:01,91.7,98.0,60.7,1179,1188,374,624,78.2,449,1
12:37:01,53.1,57.8,54.2,158,92,39,30,46.1,113,0
12:38:01,40.2,45.7,51.6,104,83,24,15,50.0,122,0
12:39:01,38.7,56.0,54.3,160,134,30,24,50.9,118,0
12:40:01,86.9,91.7,53.4,774,1368,508,653,79.1,589,1
12:41:01,52.5,54.6,54.7,123,146,40,18,42.7,150,0
12:42:01,43.1,54.6,51.6,101,89,33,21,44.5,132,0
12:43:01,50.2,56.4,55.5,129,116,31,25,48.0,148,0
12:44:01,34.3,50.2,58.1,168,135,27,25,54.9,145,0
12:45:01,50.2,47.1,52.6,134,90,32,23,48.9,124,0
12:46:01,30.9,57.3,55.5,143,95,28,22,53.5,112,0
12:47:01,88.8,85.5,62.0,1265,1390,429,716,90.7,527,1
12:48:01,59.1,57.7,51.5,137,121,31,23,54.6,126,0
12:49:01,48.4,49.7,52.1,144,141,31,25,44.5,111,0
12:50:01,53.2,58.1,53.7,147,88,30,29,47.2,136,0
12:51:01,47.5,57.9,55.2,163,137,24,28,47.6,135,0
12:52:01,39.0,58.6,51.3,165,148,34,25,42.2,150,0
12:53:01,43.8,54.2,55.0,103,109,24,23,48.6,115,0
12:54:01,57.4,54.9,50.5,174,93,23,30,52.0,119,0
12:55:01,56.1,55.7,50.9,154,142,30,27,44.3,137,0
12:56:01,54.6,55.7,57.9,170,122,39,19,45.5,133,0
12:57:01,95.6,97.1,55.4,1189,1198,788,787,94.7,570,1
12:58:01,42.6,49.4,50.4,135,118,29,15,48.3,116,0
12:59:01,43.3,56.3,57.5,105,89,30,17,42.6,150,0
13:00:01,35.8,45.3,59.9,114,97,21,28,42.8,126,0
13:01:01,59.5,48.0,53.7,123,106,21,15,47.3,124,0
13:02:01,96.9,85.1,60.8,1431,1322,499,632,80.3,451,1
13:03:01,40.7,53.6,59.9,110,138,24,16,48.7,142,0
13:04:01,44.3,48.8,58.6,150,81,28,29,50.7,150,0
13:05:01,39.6,47.0,60.0,151,141,35,25,42.9,148,0
13:06:01,57.1,47.4,59.2,114,100,27,30,51.4,145,0
13:07:01,58.3,57.1,57.5,166,117,24,16,45.2,122,0
13:08:01,54.3,59.7,57.2,119,134,25,26,50.3,136,0
13:09:01,36.1,56.8,59.4,179,127,22,29,52.4,132,0
13:10:01,44.6,58.3,54.3,117,92,37,30,49.3,149,0
13:11:01,33.8,45.9,52.6,154,131,36,24,45.1,113,0
13:12:01,47.3,58.1,59.7,161,100,31,20,46.4,149,0
13:13:01,33.7,49.0,55.1,116,88,37,28,53.2,111,0
13:14:01,32.1,55.2,56.3,111,98,25,21,45.8,127,0
13:15:01,33.6,53.8,52.7,161,103,33,15,53.3,148,0
13:16:01,54.6,50.5,59.9,109,132,37,23,47.7,139,0
13:17:01,46.7,52.0,57.7,104,144,26,16,47.0,111,0
13:18:01,45.8,49.4,51.4,173,137,36,20,48.3,122,0
13:19:01,55.3,56.5,51.9,160,84,40,26,44.7,141,0
13:20:01,41.7,51.7,58.8,101,99,38,23,44.3,136,0
13:21:01,58.5,56.5,57.7,101,118,31,20,54.6,122,0
13:22:01,30.5,52.2,57.0,123,113,39,18,53.2,145,0
13:23:01,39.4,58.4,53.7,120,148,28,17,50.8,135,0
13:24:01,49.0,48.9,55.8,165,139,28,29,53.0,144,0
13:25:01,41.8,59.4,50.4,169,98,22,19,47.5,122,0
13:26:01,47.9,50.7,57.0,148,132,38,18,52.7,131,0
13:27:01,91.9,89.3,61.1,1150,849,748,472,81.3,499,1
13:28:01,32.1,56.7,50.1,173,140,39,26,45.0,135,0
13:29:01,45.8,49.6,55.5,143,118,32,15,42.8,136,0
13:30:01,34.8,58.6,55.0,108,140,23,19,46.5,112,0
13:31:01,32.5,55.3,57.6,176,133,37,15,49.7,145,0
13:32:01,41.0,55.1,59.7,126,132,34,27,49.2,150,0
13:33:01,59.4,45.8,54.1,156,130,31,23,49.8,149,0
13:34:01,40.6,54.7,55.2,169,134,36,24,52.1,149,0
13:35:01,31.3,53.5,51.1,145,141,39,20,54.3,132,0
13:36:01,46.0,46.6,54.8,109,113,34,23,50.8,116,0
13:37:01,55.7,46.8,58.6,126,86,33,23,48.1,137,0
13:38:01,50.0,59.2,57.1,173,148,23,23,52.2,122,0
13:39:01,38.9,56.7,57.6,175,129,22,22,49.8,135,0
13:40:01,30.1,49.6,58.3,144,90,29,20,42.5,127,0
13:41:01,95.5,87.3,66.2,721,1330,372,521,81.9,392,1
13:42:01,52.8,56.0,59.5,106,129,33,25,53.8,121,0
13:43:01,35.1,56.3,54.3,129,119,34,16,47.1,123,0
13:44:01,34.7,48.4,53.9,142,109,32,29,44.1,127,0
13:45:01,40.0,51.6,53.2,116,111,22,15,53.0,114,0
13:46:01,57.7,59.0,50.7,133,137,35,18,53.5,146,0
13:47:01,57.5,51.1,54.8,176,132,31,27,45.5,117,0
13:48:01,30.3,46.0,56.2,122,87,39,24,50.7,122,0
13:49:01,49.0,54.8,55.5,104,114,26,21,51.7,141,0
13:50:01,56.1,46.7,51.3,143,110,30,28,54.2,140,0
13:51:01,47.3,48.5,56.8,126,122,28,28,50.7,144,0
13:52:01,42.8,49.6,58.4,119,116,36,25,46.1,117,0
13:53:01,52.6,55.5,52.4,180,125,20,15,48.3,137,0
13:54:01,33.0,56.2,50.7,140,91,35,19,49.5,128,0
13:55:01,34.8,57.3,57.4,127,147,30,22,51.0,132,0
13:56:01,40.6,53.9,54.9,169,144,20,21,47.4,144,0
13:57:01,31.7,55.4,59.9,116,94,30,29,42.4,134,0
13:58:01,89.1,87.9,64.3,719,891,730,542,75.7,574,1
13:59:01,30.1,51.3,51.7,132,120,23,19,46.8,135,0
14:00:01,58.3,59.4,52.1,141,80,36,30,43.6,147,0
14:01:01,44.6,45.5,54.2,109,80,26,21,48.3,114,0
14:02:01,48.6,49.3,58.2,130,121,20,16,48.9,110,0
14:03:01,34.8,47.3,53.8,152,96,35,16,45.5,130,0
14:04:01,52.6,57.5,57.6,156,88,40,22,53.7,129,0
14:05:01,37.8,53.6,54.9,139,129,32,15,44.1,140,0
14:06:01,85.1,87.6,65.3,1111,1325,611,474,88.3,432,1
14:07:01,57.6,54.4,51.3,156,135,20,23,53.5,122,0
14:08:01,49.2,55.9,51.8,118,95,34,26,47.6,126,0
14:09:01,44.8,50.3,57.4,165,131,29,29,47.9,124,0
14:10:01,95.2,91.4,65.7,1021,1321,868,507,91.6,369,1
14:11:01,50.3,49.3,51.3,178,116,22,29,44.7,117,0
14:12:01,50.0,55.6,57.0,133,112,29,29,43.0,121,0
14:13:01,86.1,88.5,63.4,827,793,798,503,93.6,389,1
14:14:01,32.5,56.9,58.2,116,90,27,21,45.9,133,0
14:15:01,89.7,89.0,58.9,1131,956,793,561,76.8,400,1
14:16:01,44.2,50.7,52.8,159,131,32,16,50.5,141,0
14:17:01,36.1,52.4,57.1,160,83,34,15,45.0,112,0
14:18:01,48.7,45.5,58.6,153,111,33,23,47.4,125,0
14:19:01,38.3,46.4,52.2,174,86,31,21,43.1,144,0
14:20:01,39.7,53.4,58.9,147,89,20,17,44.2,150,0
14:21:01,43.7,59.4,53.1,157,91,39,30,46.7,114,0
14:22:01,40.1,55.8,55.4,119,85,33,25,43.0,113,0
14:23:01,59.6,52.1,51.7,178,148,34,24,48.9,127,0
14:24:01,55.5,46.8,53.9,102,137,38,21,45.8,136,0
14:25:01,49.1,53.4,57.7,131,147,35,21,49.6,150,0
14:26:01,52.1,51.6,54.6,139,116,38,15,50.7,144,0
14:27:01,40.3,55.7,55.8,111,125,26,20,48.4,112,0
14:28:01,57.3,50.2,54.3,178,93,32,21,49.3,129,0
14:29:01,40.5,58.6,52.7,107,86,31,21,46.8,113,0
14:30:01,32.2,46.4,54.2,143,93,20,28,51.5,147,0
14:31:01,32.0,54.4,50.9,122,114,34,16,54.4,120,0
14:32:01,59.2,56.8,53.3,155,88,35,16,42.5,121,0
14:33:01,57.1,45.2,53.7,124,112,38,26,44.7,131,0
14:34:01,58.4,58.7,57.6,137,127,39,19,44.0,145,0
14:35:01,33.7,47.0,52.3,143,149,32,20,44.3,139,0
14:36:01,53.6,56.1,50.5,165,84,38,28,44.0,122,0
14:37:01,53.5,54.8,51.6,115,143,28,22,44.3,145,0
14:38:01,52.7,55.4,55.8,143,85,27,16,50.7,124,0
14:39:01,39.5,54.8,51.6,141,141,40,19,42.4,141,0
14:40:01,44.2,58.4,59.6,150,116,32,23,44.3,134,0
14:41:01,45.7,47.0,52.4,172,135,21,29,50.8,144,0
14:42:01,55.0,56.1,52.3,106,150,27,29,42.7,123,0
14:43:01,55.6,58.3,59.5,119,112,31,25,52.1,130,0
14:44:01,31.8,46.5,52.6,108,108,39,23,52.9,119,0
14:45:01,91.0,99.0,60.2,1385,1101,624,421,93.9,514,1
14:46:01,50.4,49.9,54.5,155,126,37,28,44.1,123,0
14:47:01,92.0,86.2,52.1,1071,742,426,381,87.9,398,1
14:48:01,56.9,48.6,55.2,101,82,32,16,45.9,134,0
14:49:01,51.9,52.5,52.9,107,104,23,28,43.0,122,0
14:50:01,32.9,53.4,55.6,114,138,33,24,42.7,112,0
14:51:01,34.6,50.8,59.9,140,134,28,16,51.8,120,0
14:52:01,49.2,59.8,55.9,148,95,23,25,53.4,132,0
14:53:01,59.9,56.1,53.3,163,114,32,27,50.4,124,0
14:54:01,40.2,47.7,56.2,107,81,25,16,53.9,142,0
14:55:01,57.0,45.4,51.6,107,97,27,27,50.0,118,0
14:56:01,49.2,45.5,52.9,180,119,25,15,52.3,142,0
14:57:01,48.1,45.9,50.3,115,135,37,19,42.8,136,0
14:58:01,36.7,46.5,52.6,151,120,24,23,46.3,124,0
14:59:01,55.5,56.4,51.1,147,119,26,17,50.3,112,0
15:00:01,43.4,58.2,54.9,177,148,31,27,43.9,121,0
15:01:01,98.5,97.6,68.6,1137,1028,393,475,93.3,445,1
15:02:01,49.1,47.4,51.2,138,119,37,23,53.2,122,0
15:03:01,37.3,45.9,54.6,107,112,20,24,46.2,128,0
15:04:01,34.0,52.3,50.0,164,107,21,19,49.5,148,0
15:05:01,51.3,56.5,52.9,109,95,22,28,53.2,127,0
15:06:01,45.3,59.0,50.7,114,148,35,16,45.5,140,0
15:07:01,57.1,59.4,54.8,119,135,29,25,49.6,129,0
15:08:01,36.5,57.5,53.1,111,123,39,26,51.5,117,0
15:09:01,99.0,98.5,66.0,784,1267,555,633,83.5,482,1
15:10:01,52.9,56.0,54.5,123,114,33,15,49.9,121,0
15:11:01,53.9,48.5,54.0,166,130,36,21,52.0,113,0
15:12:01,56.4,53.0,54.0,137,108,38,20,43.0,142,0
15:13:01,59.8,50.0,51.2,102,145,36,18,50.1,136,0
15:14:01,38.1,54.5,53.3,126,135,36,25,45.5,132,0
15:15:01,37.9,56.0,53.9,180,141,21,26,42.8,121,0
15:16:01,45.4,49.7,56.9,102,122,20,18,48.6,132,0
15:17:01,33.6,50.5,55.0,151,120,31,15,43.9,134,0
15:18:01,52.4,46.2,58.3,105,115,36,27,43.8,115,0
15:19:01,31.3,57.9,58.0,104,101,20,19,53.1,149,0
15:20:01,41.6,48.8,56.1,150,116,40,19,47.4,144,0
15:21:01,87.9,99.1,63.3,1314,779,866,547,89.5,458,1
15:22:01,44.2,46.9,53.4,167,133,35,27,49.4,137,0
15:23:01,42.1,56.3,59.9,154,125,31,29,50.6,148,0
15:24:01,85.1,91.7,61.1,741,1225,521,794,79.3,384,1
15:25:01,48.7,56.0,59.5,110,130,40,25,43.9,121,0
15:26:01,59.0,51.2,54.7,116,80,24,15,46.3,125,0
15:27:01,54.1,48.1,59.4,178,130,30,19,55.0,139,0
15:28:01,30.7,45.7,57.1,132,118,32,26,55.0,126,0
15:29:01,92.7,89.7,66.4,1099,1083,896,715,79.9,554,1
15:30:01,58.3,50.6,51.5,105,118,23,21,50.5,125,0
15:31:01,56.0,57.4,54.9,138,125,33,18,51.4,139,0
15:32:01,97.6,92.6,62.3,934,1064,497,525,85.9,522,1
15:33:01,34.2,47.0,54.5,172,118,27,20,50.6,137,0
15:34:01,42.0,47.9,51.4,132,120,28,20,50.9,122,0
15:35:01,34.9,48.0,55.2,167,110,38,20,53.1,118,0
15:36:01,40.7,52.3,51.6,124,107,40,26,49.3,115,0
15:37:01,39.6,53.0,55.1,149,95,36,16,50.6,141,0
15:38:01,40.5,45.9,52.1,122,100,20,17,48.3,132,0
15:39:01,47.6,49.8,59.9,134,88,39,18,49.3,123,0
15:40:01,95.7,99.3,68.0,1074,679,724,665,80.2,429,1
15:41:01,38.7,54.8,58.4,152,135,31,18,43.6,135,0
15:42:01,57.1,55.0,52.6,123,88,36,29,50.4,121,0
15:43:01,49.6,48.0,50.9,163,109,36,30,50.5,117,0
15:44:01,43.0,57.4,52.6,144,114,34,23,44.9,125,0
15:45:01,47.4,58.7,55.9,107,141,21,20,45.4,124,0
15:46:01,52.2,58.1,57.8,118,117,38,25,47.9,128,0
15:47:01,38.3,56.0,51.9,142,122,37,24,48.0,129,0
15:48:01,57.3,51.1,51.3,154,135,20,17,52.9,138,0
15:49:01,42.2,45.1,52.0,179,101,39,16,54.0,126,0
15:50:01,47.2,59.5,52.3,112,104,32,30,48.6,127,0
15:51:01,44.0,45.6,57.1,165,144,40,28,52.3,134,0
15:52:01,47.8,46.5,58.3,127,138,30,27,50.4,148,0
15:53:01,52.7,59.5,56.9,122,92,30,16,43.2,141,0
15:54:01,42.6,51.8,52.2,127,101,28,21,50.4,124,0
15:55:01,42.3,46.8,50.7,119,129,38,29,45.5,144,0
15:56:01,57.4,55.5,54.7,153,89,37,23,42.1,140,0
15:57:01,44.0,53.1,52.0,149,139,37,21,43.3,125,0
15:58:01,51.4,45.8,51.5,156,83,25,24,51.7,132,0
15:59:01,57.3,50.6,59.2,107,100,27,25,46.1,135,0
16:00:01,40.8,47.8,55.8,157,85,20,28,54.7,115,0
16:01:01,57.6,48.7,55.6,124,107,36,17,51.6,124,0
16:02:01,36.2,56.4,54.9,164,112,21,18,48.3,150,0
16:03:01,54.5,48.6,51.2,135,82,25,16,47.5,143,0
16:04:01,30.2,45.3,52.2,129,136,26,25,49.0,130,0
16:05:01,48.1,49.4,52.4,140,138,34,26,47.8,116,0
16:06:01,48.7,53.6,50.3,171,129,36,17,52.3,121,0
16:07:01,46.4,57.0,60.0,171,99,33,19,52.2,139,0
16:08:01,50.0,45.6,55.0,115,118,34,19,45.0,150,0
16:09:01,35.7,47.7,54.6,122,132,25,21,54.7,147,0
16:10:01,52.1,49.2,51.2,133,84,39,27,44.9,116,0
16:11:01,89.0,98.9,56.8,836,1031,769,619,78.3,591,1
16:12:01,39.0,45.5,56.8,179,117,29,25,54.7,134,0
16:13:01,30.5,55.3,58.9,134,104,35,24,42.3,120,0
16:14:01,55.4,57.0,56.0,162,83,36,27,48.0,149,0
16:15:01,60.0,48.9,52.4,144,142,40,22,51.3,114,0
16:16:01,38.0,51.2,58.5,169,115,25,30,44.4,117,0
16:17:01,54.0,47.2,56.4,152,93,40,23,50.2,129,0
16:18:01,44.8,58.1,50.5,101,126,30,19,47.4,120,0
16:19:01,36.3,45.7,54.4,168,140,27,29,42.5,125,0
16:20:01,88.4,87.3,55.9,1041,1379,661,365,83.9,360,1
16:21:01,57.9,51.4,54.5,162,135,40,29,51.2,132,0
16:22:01,49.8,53.3,50.1,155,87,29,21,47.7,132,0
16:23:01,46.1,53.3,59.7,146,118,35,25,51.9,130,0
16:24:01,49.0,45.2,56.8,129,145,37,28,47.1,143,0
16:25:01,42.3,50.2,56.5,106,140,25,19,47.6,127,0
16:26:01,44.4,50.0,52.5,147,91,30,23,51.9,114,0
16:27:01,40.4,47.0,57.3,106,113,21,26,46.8,123,0
16:28:01,56.4,52.0,59.4,154,81,25,26,42.6,131,0
16:29:01,48.0,46.2,55.6,143,119,21,27,54.4,134,0
16:30:01,97.5,95.6,61.9,817,1054,790,371,90.9,374,1
16:31:01,59.3,45.1,59.5,141,132,38,29,50.5,133,0
16:32:01,37.8,46.4,50.3,137,119,29,16,53.2,126,0
16:33:01,34.8,49.4,52.1,158,146,33,15,48.2,144,0
16:34:01,41.3,45.9,52.4,116,144,23,15,51.1,137,0
16:35:01,36.9,58.4,51.2,128,81,21,27,48.3,136,0
16:36:01,54.8,51.7,58.2,120,97,33,17,50.0,136,0
16:37:01,49.6,46.2,57.6,146,108,21,23,52.8,142,0
16:38:01,32.4,48.5,50.0,136,115,29,30,54.2,119,0
16:39:01,59.7,48.5,58.0,143,89,30,21,51.4,134,0
16:40:01,92.1,87.3,65.4,1171,1170,369,636,78.7,543,1
16:41:01,98.0,85.9,63.1,1367,851,603,364,83.7,449,1
16:42:01,59.9,45.7,54.9,102,86,23,16,48.2,121,0
16:43:01,55.7,56.3,52.9,134,99,36,18,50.5,134,0
16:44:01,42.5,48.7,58.3,154,82,28,21,45.6,143,0
16:45:01,40.8,50.2,55.4,161,84,27,26,49.3,148,0
16:46:01,36.4,51.3,53.8,167,104,32,22,48.7,122,0
